809465176964202546 - membre d'un serveur problématique | Ajouté par: 840985745182425108 | Le: 2025-08-21T14:46:36.226Z
1177561601537232930 - membre d'un serveur problèmatique | Ajouté par: 840985745182425108 | Le: 2025-08-21T14:49:03.557Z
1278101297660432405 - membre d'un serveur problématique | Ajouté par: 840985745182425108 | Le: 2025-08-21T14:49:55.443Z
1250912740109844480 - fdp | Ajouté par: 865958359701389312 | Le: 2025-08-21T15:00:19.334Z
1055828768121442314 - serveur problématique | Ajouté par: 865958359701389312 | Le: 2025-08-21T15:11:33.101Z
1287812615162302506 - user problématique | Ajouté par: 840985745182425108 | Le: 2025-08-21T15:14:08.700Z
1407119051578150912 - nazi | Ajouté par: 840985745182425108 | Le: 2025-08-21T17:44:46.330Z
1096780328934318130 - dox massif | Ajouté par: 865958359701389312 | Le: 2025-08-21T18:02:00.269Z
560470119369932801 - propos problèmatique | Ajouté par: 840985745182425108 | Le: 2025-08-22T11:00:39.497Z
963467391017308250 - neustrie | Ajouté par: 840985745182425108 | Le: 2025-08-22T17:09:47.055Z
1058338514409881630 - neustrie | Ajouté par: 840985745182425108 | Le: 2025-08-22T17:10:17.652Z
1033797516086485053 - neustrie | Ajouté par: 840985745182425108 | Le: 2025-08-22T17:10:44.378Z
730858139259240471 - neustrie | Ajouté par: 840985745182425108 | Le: 2025-08-22T17:11:13.410Z
1075675426690703371 - neustrie | Ajouté par: 840985745182425108 | Le: 2025-08-22T17:11:54.824Z
1036320246073659444 - neustrie | Ajouté par: 840985745182425108 | Le: 2025-08-22T17:12:28.119Z
872579828723892234 - neustrie | Ajouté par: 840985745182425108 | Le: 2025-08-22T17:13:36.847Z
946883165400731648 - neustrie | Ajouté par: 840985745182425108 | Le: 2025-08-22T17:14:08.882Z
720351927581278219 - lien nsfw | Ajouté par: 840985745182425108 | Le: 2025-08-24T09:57:37.630Z
1409212273809166470 - fouteur de merde | Ajouté par: 840985745182425108 | Le: 2025-08-24T19:51:05.773Z
1336384749874315418 - insulte + menace à un administrateur | Ajouté par: 1295832086602715251 | Le: 2025-09-15T18:25:57.007Z
1073272181846462574 - piratage | Ajouté par: 840985745182425108 | Le: 2025-10-21T09:32:12.795Z
1430503894278078525 - pseudo nazi | Ajouté par: 1295832086602715251 | Le: 2025-10-22T14:51:33.683Z
1265017745934913699 - extrémistes et suspicion de nazisme (demande preuve mp) | Ajouté par: 1295832086602715251 | Le: 2025-10-28T22:42:22.011Z
1412807657768882276 - pub | Ajouté par: 840985745182425108 | Le: 2025-10-30T18:47:21.957Z
1362883680749621301 - arrète de s^pame des truc crypro | Ajouté par: 840985745182425108 | Le: 2025-10-30T19:09:02.668Z
1242854547848826891 - harcèlement,incitation au suicide,jurons | Ajouté par: 1295832086602715251 | Le: 2025-10-31T10:33:58.916Z
1276205481232306270 - extremiste religieux | Ajouté par: 840985745182425108 | Le: 2025-11-01T10:48:18.838Z
1394751116973051927 - harcèlement et menace | Ajouté par: 1295832086602715251 | Le: 2025-11-01T17:30:58.989Z
1383108396299063317 - insulte envers un administrateur | Ajouté par: 1295832086602715251 | Le: 2025-11-01T21:55:22.633Z
1202688284581560417 - nazi+ demande esclavage sur une micronation | Ajouté par: 1295832086602715251 | Le: 2025-11-07T21:08:32.192Z
1353365926971707452 - double compte de nathounax (déjà bann list | Ajouté par: 1295832086602715251 | Le: 2025-11-14T22:42:21.119Z
1438801628743598197 - spam crypto | Ajouté par: 840985745182425108 | Le: 2025-11-16T09:08:15.777Z
746097766157123624 - spam | Ajouté par: 840985745182425108 | Le: 2025-11-16T17:18:24.989Z
893052250342170636 - il veut reproduire le régime Hitler se fou | Ajouté par: 1295832086602715251 | Le: 2025-11-16T23:32:22.714Z
1260227339690971237 - pro nazie | Ajouté par: 840985745182425108 | Le: 2025-11-25T20:45:34.029Z
1442644277468336171 - pro nazie | Ajouté par: 840985745182425108 | Le: 2025-11-25T20:45:49.018Z
1442401365123928117 - utilisateur pro nazie | Ajouté par: 840985745182425108 | Le: 2025-11-25T20:46:07.627Z
1320787265315930142 - utilisateur pro nazie | Ajouté par: 840985745182425108 | Le: 2025-11-25T20:46:21.041Z
1245031168047583283 - utilisateur pro nazie | Ajouté par: 840985745182425108 | Le: 2025-11-25T20:46:28.719Z
